Adding 100 nodes and x edges,runtime[ms],ms / x
5,265,53
5,260,52
5,271,54.2
6,349,58.166666666666664
6,351,58.5
7,393,56.142857142857146
7,400,57.142857142857146
8,481,60.125
8,472,59
9,520,57.77777777777778
9,527,58.55555555555556
9,524,58.22222222222222
10,593,59.3
10,617,61.7
11,697,63.36363636363637
11,679,61.72727272727273
12,762,63.5
12,776,64.66666666666667
13,863,66.38461538461539
13,870,66.92307692307692
13,870,66.92307692307692
14,973,69.5
14,962,68.71428571428571
15,1062,70.8
15,1077,71.8
16,1180,73.75
16,1182,73.875
17,1276,75.05882352941177
17,1286,75.6470588235294
18,1390,77.22222222222223
18,1378,76.55555555555556
18,1398,77.66666666666667
19,1505,79.21052631578948
19,1510,79.47368421052632
20,1628,81.4
20,1620,81
21,1746,83.14285714285714
21,1790,85.23809523809524
22,1850,84.0909090909091
22,1843,83.77272727272727
22,1871,85.04545454545455
23,1985,86.30434782608695
23,1999,86.91304347826087
24,2146,89.41666666666667
24,2100,87.5
25,2252,90.08
25,2280,91.2
26,2403,92.42307692307692
26,2390,91.92307692307692
27,2548,94.37037037037037
27,2549,94.4074074074074
27,2618,96.96296296296296
28,2670,95.35714285714286
28,2706,96.64285714285714
29,2811,96.93103448275862
29,2930,101.03448275862068
30,2970,99
30,3000,100
31,3114,100.45161290322581
31,3149,101.58064516129032
31,3168,102.19354838709677
32,3352,104.75
32,3309,103.40625
33,3433,104.03030303030303
33,3455,104.6969696969697
34,3596,105.76470588235294
34,3595,105.73529411764706
35,3755,107.28571428571429
35,3840,109.71428571428571
36,3975,110.41666666666667
36,3946,109.61111111111111
36,3980,110.55555555555556
37,4134,111.72972972972973
37,4219,114.02702702702703
38,4316,113.57894736842105
38,4364,114.84210526315789
39,4499,115.35897435897436
39,4513,115.71794871794872
40,4674,116.85
40,4665,116.625
41,4841,118.07317073170732
41,4847,118.21951219512195
41,4893,119.34146341463415
42,5020,119.52380952380952
42,5222,124.33333333333333
43,5300,123.25581395348837
43,5240,121.86046511627907
44,5432,123.45454545454545
44,5456,124
45,5643,125.4
45,5648,125.5111111111111
45,5644,125.42222222222222
46,5906,128.3913043478261
46,5893,128.1086956521739
47,6108,129.95744680851064
47,6110,130
48,6324,131.75
48,6332,131.91666666666666
49,6496,132.57142857142858
49,6485,132.3469387755102
