"Checking 1000000 connections in graph with 50 nodes, x edges",runtime[ms],ms / x
10,224,22.4
10,220,22
11,273,24.818181818181817
12,199,16.583333333333332
13,208,16
14,248,17.714285714285715
15,201,13.4
16,206,12.875
17,262,15.411764705882353
18,199,11.055555555555555
18,206,11.444444444444445
19,265,13.947368421052632
20,206,10.3
21,211,10.047619047619047
22,268,12.181818181818182
23,206,8.956521739130435
24,217,9.041666666666666
25,271,10.84
26,210,8.076923076923077
27,217,8.037037037037036
27,288,10.666666666666666
28,206,7.357142857142857
29,224,7.724137931034483
30,294,9.8
31,217,7
32,211,6.59375
33,267,8.090909090909092
34,203,5.970588235294118
35,213,6.085714285714285
36,263,7.305555555555555
36,224,6.222222222222222
37,214,5.783783783783784
38,236,6.2105263157894735
39,207,5.3076923076923075
40,217,5.425
41,213,5.195121951219512
42,211,5.023809523809524
43,221,5.1395348837209305
44,258,5.863636363636363
45,211,4.688888888888889
45,216,4.8
46,255,5.543478260869565
47,202,4.297872340425532
48,211,4.395833333333333
49,273,5.571428571428571
50,205,4.1
51,210,4.117647058823529
52,274,5.269230769230769
53,204,3.849056603773585
54,210,3.888888888888889
54,271,5.018518518518518
55,206,3.7454545454545456
56,210,3.75
57,271,4.754385964912281
58,206,3.5517241379310347
59,223,3.7796610169491527
60,274,4.566666666666666
61,203,3.3278688524590163
62,210,3.3870967741935485
63,270,4.285714285714286
63,203,3.2222222222222223
64,210,3.28125
65,268,4.123076923076923
66,204,3.090909090909091
67,212,3.1641791044776117
68,259,3.8088235294117645
69,204,2.9565217391304346
70,213,3.0428571428571427
71,231,3.2535211267605635
72,207,2.875
72,208,2.888888888888889
73,205,2.808219178082192
74,203,2.7432432432432434
75,267,3.56
76,211,2.776315789473684
77,210,2.727272727272727
78,246,3.1538461538461537
79,205,2.5949367088607596
80,213,2.6625
81,273,3.3703703703703702
82,216,2.6341463414634148
82,213,2.597560975609756
83,211,2.5421686746987953
84,269,3.2023809523809526
85,209,2.458823529411765
86,209,2.4302325581395348
87,266,3.057471264367816
88,204,2.3181818181818183
89,212,2.3820224719101124
90,268,2.977777777777778
91,208,2.2857142857142856
91,210,2.3076923076923075
92,265,2.880434782608696
93,202,2.172043010752688
94,213,2.265957446808511
95,233,2.4526315789473685
96,203,2.1145833333333335
97,209,2.154639175257732
98,246,2.510204081632653
99,210,2.121212121212121
